"Drug","INN","Disease","Applicant","Parent_Company","Technology","Therapeutic_Area","Severity_Tier","Country","Decision_Type","Evaluation_Raw","Decision_Status_Raw","Access_Outcome","Restriction_Level","Reason_Category","Decision_Year","Decision_Date_Raw","Comparator_Category","Comparator_Raw","Evidence_Type","Reason_Text","ICER_Raw","Main_Uncertainty","Conditions","Notes","Comments","Data_Source","Row_Ref","Is_Positive","Is_Assessed","ICER_Min_SEK_per_QALY (Sweden only, curated)","ICER_Max_SEK_per_QALY (Sweden only, curated)","ICER_Basis_Note (Sweden only)","Technology_Group","Drug_Any_Positive (helper)","Drug_First_Positive_Year (helper)","hta_decision_date","ema_ma_date","time_to_decision_years","time_flag"
"Zolgensma","Onasemnogene abeparvovec","5q Spinal muscular atrophy (SMA)","Novartis Gene Therapies","Novartis","Gene therapy (in vivo AAV)","Neuromuscular","Ultra-severe (immediately life-threatening)","Sweden","Full / standard HTA","Health Economic Assessment with Scenario Analysis","Not Recommended (Uncertainty)","Negative","Not Applicable","Clinical evidence uncertainty",2021,"2021-02-24 00:00:00","Active comparator drug(s)","Spinraza + BSC or  BSC","Not specified / unclear","Clinical evidence uncertainty","SEK 850,000 - 3.2 million/QALY vs Spinraza + BSC or SEK 2.9–5.7 million/QALY vs BSC alone","Very high uncertainty about long-term effects, how long the treatment effect lasts and uncertainty due to model based on muldtiple linked data sources","Patients with 5q SMA with biallelic SMN1 mutation and either a clinical diagnosis of SMA type 1, or up to 3 copies of the SMN2 gene. TLV's economic scenarios mainly apply to symptomatic SMA type 1. No conclusions or results were presented for presymptomaic patients or symptomatic SMA type 2/3 due to uncertaintly in relative effectiveness.","Health Economic Assessment completed by TLV - no base-case scenario established for some patient groups due to uncertainty","TLV presents multiple scenario analyses wather than one base case for symptomatic SMA type 1. No results are presented for presymptomatic patients or symptomatic SMA type 2/3 because TLV considers relative effectiveness vs Spinraza too uncertain. Patient follow-up is considered important.","Primary xlsx database",4,FALSE,TRUE,850000,5700000,"range (vs Spinraza+BSC: 0.85-3.2M; vs BSC alone: 2.9-5.7M)","Gene therapy",1,,2021-02-24,2020-05-18,0.772073921971253,"ok"
"Zolgensma","Onasemnogene abeparvovec","5q Spinal muscular atrophy (SMA)","Novartis Gene Therapies","Novartis","Gene therapy (in vivo AAV)","Neuromuscular","Ultra-severe (immediately life-threatening)","Denmark","Full / standard HTA","Clinical Value assessment + health economic assessment - Cost Minimization Approach","Recommended","Positive","Broad","N/A",2021,"Original recommendation: 26 May 2021; follow-up maintained: 23 Aug 2023; replaced by SMA guidance: 31 Aug 2023","Active comparator drug(s)","Nusinersen/Spinraza, given continuously every 4 months","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","No ICER reported. Medicinrådet used cost-minimisation because Zolgensma and nusinersen were considered clinically equivalent. Costs per patient were expected to equalise after 8–15 years, with substantial uncertainty; using AIP, equalisation was around 9 years","Long-term effect and long-term safety of one-time Zolgensma treatment. Uncertainty about how long nusinersen treatment would continue. Uncertainty around when costs equalize.","Infants with SMA type 1 treated before 6 months old and not in permanent ventilation >16h/day, also presymptomatic infants born with SMA. Switching from comparator may be considered only in special cases if the child weights <13.5kg, is not severely muscle-weak and can breathe independently.","Medicinrådet considered Zolgensma clinically equivalent to nusinersen overall. The applicant’s full health economic model was only used to a limited extent because assumptions about effect, disease progression and mortality were not sufficiently supported by data. Medicinrådet instead used a simplified cost-minimisation approach","Zolgensma was not recommended in combination with nusinersen. The recommendation did not mean Zolgensma should automatically be first choice for all patients, switching from well-functioning nusinersen generally requires a specific clinical reason","Primary xlsx database",4,TRUE,TRUE,,,,"Gene therapy",1,,2021-07-01,2020-05-18,1.11978097193703,"ok"
"Zolgensma","Onasemnogene abeparvovec","5q Spinal muscular atrophy (SMA)","Novartis Gene Therapies","Novartis","Gene therapy (in vivo AAV)","Neuromuscular","Ultra-severe (immediately life-threatening)","Norway","Rapid / simplified HTA","Simplified method assessment: effect, safety and cost assessment + managed-access negotiation","Introduced by Beslutningsforum for treatment of SMA - currently under reassessment because updated follow-up documentation was not submitted on time","Positive","Broad","N/A",2021,"Final introduction: 25 Oct 2021; reassessment request: 19 Jan 2026; deadline extended to 15 Jun 2026 on 27 Apr 2026","Active comparator drug(s)","Nusinersen/Spinraza","Real-world / registry / natural history","Clinical evidence uncertainty + Price / cost-effectiveness","No standard ICER/cost per QALY reported. Cost comparison only; Zolgensma had a very high one-time cost, around NOK 27 million before possible discounts","Sparse evidence base, short follow-up, major uncertainty about long-term effect, uncertainty about comparison with Spinraza and long-term costs","Infants <6 months with manifest 5q SMA type 1 and biallelic SMN1 mutation, without clear symptoms at birth/type 0 and without ventilation support >16 h/day, presymptomatic infants <6 months with biallelic SMN1 mutation and 2 or 3 SMN2 copies, elected 6–18 month children <13.5 kg may switch from Spinraza in special cases if not severely weak and able to breathe independently, <6 month patients already started on Spinraza before Zolgensma availability could convert","Simplified HTA assessing effect, safety and costs. Zolgensma was compared with Spinraza. Final introduction was possible after negotiations and a result-based price agreement","First result-based agreement for a medicine in Norway. Treatment centralised at Oslo University Hospital, registry follow-up required, no combination with Spinraza or other disease-modifying treatment. In 2026, caution advised for new patients pending reassessment","Primary xlsx database",4,TRUE,TRUE,,,,"Gene therapy",1,,2021-07-01,2020-05-18,1.11978097193703,"ok"
"Evrysdi","Risdiplam","5q Spinal muscular atrophy (SMA)","Roche AB","Roche","Small molecule","Neuromuscular","Ultra-severe (immediately life-threatening)","Sweden","Managed introduction / price negotiation","Reimbursement / Subvention Assessment with Cost-Utility Analysis, later restricted subvention after side agreement","2021: Rejected. 2025: Reimbursed with restriction","Restricted Positive","Restricted","Price/Cost-effectiveness",2021,"21/10/2021; 01/02/2025; tablet added 26/08/2025","Active comparator drug(s)","BSC / no addition to BSC; tablet compared with Evrysdi oral solution","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","2021: SEK 2.3–3.1M/QALY for SMA type 1; SEK 7.9M/QALY for SMA type 2/3. 2025: SEK 4.9M/QALY for SMA type 1; approx. SEK 800k/QALY for SMA type 2/3 after side agreement","Long-term effect, survival, QoL, model uncertainty, transferability to Swedish population, personal assistance costs","5q SMA type 1, type 2 or type 3. Tablet: patients >2 years and ≥20 kg under same restriction","Initial rejection due to costs not being reasonable vs benefit, later approval enabled by side agreement between Roche and regions","Important reversal case: price agreement changed outcome. SMA type 1 included via need-solidarity principle, tablet decision was a formulation extension","Primary xlsx database",5,TRUE,TRUE,8e+05,7900000,"range across 2021 and 2025 reassessments, by SMA subtype","Small molecule",1,,2021-07-01,2021-03-26,0.265571526351814,"ok"
"Evrysdi","Risdiplam","5q Spinal muscular atrophy (SMA)","Roche AB","Roche","Small molecule","Neuromuscular","Ultra-severe (immediately life-threatening)","Denmark","Full / standard HTA","Clinical Value Assessment + health economic assessment - later integrated into SMA treatment guidance and drug recommendation","2021: Recommended for selected SMA patients. 2024: Recommendation expanded after reassessment based on new price and new data. 2026: Evrysdi placed as first-choice option in current SMA drug recommendation","Positive","Broad","N/A",2021,"Original recommendation: 27/10/2021. Reassessment/expanded recommendation: 28/08/2024. Current guidance: 29/04/2026","Active comparator drug(s)","Nusinersen for SMA type 1 and selected SMA type 2/3 groups; BSC/placebo/no medical treatment for groups where nusinersen was not standard care","Not specified / unclear","Clinical evidence uncertainty + Price / cost-effectiveness","No ICER reported. Medicinrådet used incremental cost and budget impact analyses. In 2021, risdiplam was less costly than nusinersen in recommended groups; list-price analyses showed high incremental costs vs BSC in older/non-recommended groups","Sparse data for SMA type 1, short follow-up,  uncertain effect in older children/adults in original assessment,  uncertainty around long-term survival, treatment duration and accumulated medicine costs","2021: SMA type 1 patients not in permanent ventilation >16 h/day; SMA type 2/3 patients under 6 years at treatment start. Later expanded to patients meeting fixed start/stop criteria. Current guidance includes Evrysdi as first choice for SMA type 1/presymptomatic infants, SMA type 2/3 children, young people and adults, including adults >25 years meeting criteria","Risdiplam was initially recommended because it was considered as good as nusinersen for relevant younger patients and less costly. Older SMA type 2/3 patients were not included in 2021 due to insufficient evidence. Later evidence and pricing supported broader use","Important expansion case: access broadened over time through new data, new price and integration into SMA pathway guidance. Evrysdi is oral and taken at home, unlike nusinersen. Combination therapy with other SMA medicines is not recommended","Primary xlsx database",5,TRUE,TRUE,,,,"Small molecule",1,,2021-07-01,2021-03-26,0.265571526351814,"ok"
"Evrysdi","Risdiplam","5q Spinal muscular atrophy (SMA)","Roche AB","Roche","Small molecule","Neuromuscular","Ultra-severe (immediately life-threatening)","Norway","Rapid / simplified HTA","Multiple Evaluations: Simplified HTA (ID2021_088), Full HTA (ID2020_104), indication extensions and pricing reviews (ID2023_089, ID2025_010)","Recommended (Introduced through stepwise indication expansions)","Positive","Broad","N/A",2022,"Initial reimbursement: 17/01/2022. Expanded: 22/01/2024. Tablet formulation: 2025","Active comparator drug(s)","Nusinersen (Spinraza) for children already eligible for treatment; supportive care/no disease-modifying treatment for adults and SMA type 3b populations","Not specified / unclear","Clinical evidence uncertainty + Comparator/positioning issue + Price / cost-effectiveness","Full HTA (ID2020_104) estimated approximately NOK 12 million per QALY gained versus supportive care. No ICER reported in simplified assessments.","Limited long-term evidence, small patient populations, uncertainty regarding long-term effectiveness and durability of treatment effect, particularly in adults","Initially approved for children ≥2 months with SMA type 1, 2 or 3a. Later expanded to infants <2 months and subsequently to broader adult populations. National start/stop criteria apply.","Norway used different evaluation pathways depending on the patient population. Children already eligible for Spinraza underwent a simplified assessment, while adults and type 3b patients underwent a full HTA.","Market access was achieved through gradual indication expansion. Adult access required additional assessment and price negotiations. Tablet formulation was approved through a suitability assessment and pricing review rather than a new HTA.","Primary xlsx database",5,TRUE,TRUE,,,,"Small molecule",1,,2022-07-01,2021-03-26,1.26488706365503,"ok"
"Spinraza","Nusinersen","5q Spinal muscular atrophy (SMA)","Biogen Sweden AB","Biogen","RNA-targeted (antisense oligonucleotide)","Neuromuscular","Ultra-severe (immediately life-threatening)","Sweden","Full / standard HTA","Health Economic Assessment with Scenario Analysis","Recomended (Reassessed 2023)","Positive","Broad","N/A",2017,"10/11/2017; 18/10/2023","Best supportive care / no active treatment","BSC","Real-world / registry / natural history","Clinical evidence uncertainty","2017: SMA I SEK 5.7–7.7M/QALY; SMA II SEK 7.3–12.8M/QALY. 2023: Pediatric SMA I SEK 4.1–7.3M/QALY; Pediatric SMA II SEK 4.8–7.7M/QALY","Long-term survival, durability of treatment effect, quality-of-life estimates, disease progression modelling and limited evidence for adult SMA populations","Patients with 5q SMA type I, II and III. Reassessment included pediatric SMA type I/II and adult SMA type II/III populations","Initial TLV assessment followed by major reassessment using long-term evidence and real-world data","Spinraza became the reference therapy against which both Zolgensma and Evrysdi were later assessed in Sweden. Reassessment demonstrated improved evidence base but uncertainty remained for adult SMA populations.","Primary xlsx database",6,TRUE,TRUE,4100000,12800000,"range across 2017 and 2023 reassessments, by SMA subtype","RNA-targeted",1,,2017-07-01,2017-05-30,0.0876112251882272,"ok"
"Spinraza","Nusinersen","5q Spinal muscular atrophy (SMA)","Biogen Sweden AB","Biogen","RNA-targeted (antisense oligonucleotide)","Neuromuscular","Ultra-severe (immediately life-threatening)","Denmark","Managed introduction / price negotiation","Repeated HTA and reimbursement reassessments (2017, 2018, 2020) followed by national treatment guideline priorisation (2023)","Restricted Recommendation / Recommended only for defined SMA subgroups; Not recommended for general SMA population","Restricted Positive","Restricted","Clinical evidence uncertainty",2017,"12/10/2017; 30/01/2018; 30/05/2018; 27/10/2020; 31/08/2023","Active comparator drug(s)","BSC (initial assessments) + later compared directly with risdiplamn and onasemnogene in treatment guideline reviews","Not specified / unclear","Administrative/procedural + Clinical evidence uncertainty + Comparator/positioning issue + Price / cost-effectiveness","No ICER publicly reported in Medicinrådet recommendations; decisions based on clinical value relative to negotiated price","Limited long-term efficacy data, particularly for SMA type 2 and type 3; uncertainty regarding treatment effect in older children, adults and patients with longer disease duration; lack of evidence for SMA type 3 and adults","Recommended for presymptomatic infants with 2–4 SMN2 copies, SMA type 1 and selected SMA type 2 patients meeting strict clinical criteria (including early treatment initiation and limited disease duration). Not recommended for SMA type 3 or general SMA populations.","Multiple reassessments due to new evidence and price negotiations. Medicinrådet repeatedly concluded that the price remained disproportionately high relative to documented benefit but accepted restricted use based on disease severity and demonstrated benefit in selected populations.","Illustrates Denmark’s highly restrictive access approach for rare disease therapies. Access expanded gradually as evidence accumulated, but recommendations remained limited to subgroups with strongest evidence. In 2023 Spinraza became a second-line option behind Evrysdi in most paediatric populations.","Primary xlsx database",6,TRUE,TRUE,,,,"RNA-targeted",1,,2017-07-01,2017-05-30,0.0876112251882272,"ok"
"Spinraza","Nusinersen","5q Spinal muscular atrophy (SMA)","Biogen Sweden AB","Biogen","RNA-targeted (antisense oligonucleotide)","Neuromuscular","Ultra-severe (immediately life-threatening)","Norway","Rapid / simplified HTA","Rapid HTA (2017), multiple reassessments (2018, 2023) and price negotiations","Recommended with restrictions (following initial non-recommendation)","Restricted Positive","Restricted","N/A",2017,"23/10/2017; 08/12/2017; 12/02/2018; 22/10/2018; 11/04/2023","Best supportive care / no active treatment","BSC / no disease modifying treatment","Real-world / registry / natural history","Clinical evidence uncertainty + Price / cost-effectiveness","Initial HTA estimated ICERs ranging from approximately NOK 16–40 million per QALY in the Norwegian Medicines Agency base-case scenarios, depending on SMA subtype.","Long-term effectiveness, durability of treatment effect, limited trial data, uncertainty in health-economic model, effectiveness in older patients and later disease stages","Restricted to defined paediatric SMA populations under strict start/stop criteria, national expert review, registry participation and regular reassessment. Expanded in 2023 to include SMA type 3b children.","Initially rejected because price was considered unacceptable and evidence uncertain. Following substantial price negotiations, Spinraza was introduced under one of the most restrictive managed-access schemes in Norway.","Illustrates Norway’s use of managed access, price negotiation, registry-based monitoring and start/stop criteria to manage uncertainty for an ultra-rare disease therapy.","Primary xlsx database",6,TRUE,TRUE,,,,"RNA-targeted",1,,2017-07-01,2017-05-30,0.0876112251882272,"ok"
"Libmeldy","Atidarsagene autotemcel","Metachromatic leukodystrophy","Orchard Therapeutics (Kyowa Kirin)","Kyowa Kirin","Gene therapy (ex vivo lentiviral)","Neurology (metabolic)","Ultra-severe (immediately life-threatening)","Sweden","Joint Nordic HTA (FINOSE/JNHB)","FINOSE Joint Health Economic Assessment + NT-rådet recommendation","Recommended","Positive","Broad","N/A",2022,"FINOSE HTA February 2022; NT-rådet recommendation November 2023","Best supportive care / no active treatment","BSC","Not specified / unclear","Clinical evidence uncertainty + Comparator/positioning issue","Approx. NOK 3.15–3.23 million/QALY in FINOSE scenarios; combined scenario approx. NOK 6.36 million/QALY","Very small patient population, no randomized comparator, uncertainty regarding long-term durability and safety","Late infantile or early juvenile MLD; presymptomatic patients or early symptomatic patients still able to walk independently and before cognitive decline","Joint FINOSE assessment with Norway and Finland","Sweden became the operational treatment hub for the Nordic region","Primary xlsx database",7,TRUE,TRUE,,,"source quotes NOK 3.15-6.36M in the Sweden record - likely a currency labelling error in source data, excluded pending verification","Gene therapy",1,,2022-07-01,2020-12-16,1.53867214236824,"ok"
