"inn_clean","ema_ma_date","orphan_flag"
"13c-urea",1997-08-14,"No"
"5-aminolevulinic acid hydrochloride",2007-09-07,"No"
"abacavir",1999-07-08,"No"
"abacavir;dolutegravir;lamivudine",2014-08-31,"No"
"abacavir;lamivudine",2004-12-16,"No"
"abacavir;lamivudine;zidovudine",2000-12-27,"No"
"abaloparatide",2022-12-12,"No"
"abatacept",2007-05-21,"No"
"abemaciclib",2018-09-26,"No"
"abiraterone",2011-09-05,"No"
"abiraterone acetate",2021-06-24,"No"
"abrocitinib",2021-12-09,"No"
"acalabrutinib",2020-11-05,"No"
"aclidinium bromide",2012-07-20,"No"
"aclidinium bromide;formoterol",2014-11-19,"No"
"aclidinium;formoterol fumarate dihydrate",2014-11-19,"No"
"acoramidis",2025-02-10,"No"
"adagrasib",2024-01-05,"No"
"adalimumab",2003-09-08,"No"
"afamelanotide",2014-12-22,"No"
"afatinib",2013-09-25,"No"
"aficamten",2026-02-12,"No"
"aflibercept",2012-11-21,"No"
"agalsidase alfa",2001-08-03,"No"
"agalsidase beta",2001-08-03,"No"
"agomelatine",2009-02-19,"No"
"albutrepenonacog alfa",2016-05-11,"Yes"
"alectinib",2017-02-16,"No"
"alemtuzumab",2013-09-12,"No"
"alendronic acid;colecalciferol",2005-08-24,"No"
"alglucosidase alfa",2006-03-28,"No"
"alirocumab",2015-09-23,"No"
"aliskiren",2007-08-22,"No"
"allogeneic umbilical cord-derived cd34- cells, non-expanded;dorocubicel",2025-08-25,"Yes"
"alogliptin benzoate",2013-09-18,"No"
"alogliptin;metformin",2013-09-18,"No"
"alogliptin;pioglitazone",2013-09-19,"No"
"alpelisib",2020-07-27,"No"
"alpha1-proteinase inhibitor (human)",2015-08-20,"No"
"ambrisentan",2008-04-21,"No"
"amifampridine",2009-12-23,"No"
"amikacin",2020-10-27,"Yes"
"amino acids",2025-07-28,"Yes"
"amivantamab",2021-12-09,"No"
"amlodipine besilate;valsartan;hydrochlorothiazide",2009-10-15,"No"
"amlodipine;valsartan",2007-01-15,"No"
"amlodipine;valsartan;hydrochlorothiazide",2009-11-03,"No"
"anagrelide",2004-11-15,"No"
"anakinra",2002-03-08,"No"
"andexanet alfa",2019-04-26,"No"
"angiotensin ii",2019-08-23,"No"
"anidulafungin",2007-09-20,"No"
"anifrolumab",2022-02-14,"No"
"apalutamide",2019-01-14,"No"
"apixaban",2011-05-18,"No"
"apremilast",2015-01-15,"No"
"aprepitant",2003-11-11,"No"
"arginine;lysine",2019-07-25,"No"
"aripiprazole",2004-06-04,"No"
"arsenic trioxide",2002-03-05,"No"
"artesunate",2021-11-22,"Yes"
"asciminib",2022-08-25,"Yes"
"asenapine",2010-09-01,"No"
"asfotase alfa",2015-08-28,"Yes"
"asparaginase",2016-01-14,"No"
"atazanavir",2016-08-22,"No"
"atazanavir sulfate",2004-03-01,"No"
"atazanavir;cobicistat",2015-07-13,"No"
"atezolizumab",2017-09-20,"No"
"atogepant",2023-08-11,"No"
"atosiban",2000-01-20,"No"
"atropine sulfate",2025-06-02,"No"
"aumolertinib",2026-02-12,"No"
"autologous cd34+ cells encoding arsa gene",2020-12-17,"Yes"
"autologous cd34+ enriched cell fraction that contains cd34+ cells transduced with retroviral vector that encodes for the human ada cdna sequence",2016-05-26,"Yes"
"avacopan",2022-01-11,"Yes"
"avalglucosidase alfa",2022-06-24,"No"
"avanafil",2013-06-21,"No"
"avapritinib",2020-09-24,"Yes"
"avatrombopag",2019-06-20,"No"
"avelumab",2017-09-18,"No"
"axicabtagene ciloleucel",2018-08-23,"Yes"
"axitinib",2012-09-03,"No"
"azacitidine",2008-12-17,"No"
"azathioprine",2021-06-21,"No"
"azilsartan medoxomil",2011-12-07,"No"
"aztreonam",2009-09-21,"No"
"aztreonam;avibactam",2024-04-22,"No"
"baloxavir marboxil",2021-01-07,"No"
"baricitinib",2017-02-13,"No"
"basiliximab",1998-10-09,"No"
"bazedoxifene",2009-04-17,"No"
"beclometasone;formoterol;glycopyrronium bromide",2017-07-17,"No"
"bedaquiline",2014-03-05,"No"
"belantamab mafodotin",2025-07-23,"No"
"belatacept",2011-06-17,"No"
"belimumab",2011-07-13,"No"
"belumosudil",2026-03-24,"Yes"
"belzutifan",2025-02-12,"No"
"bempedoic acid",2020-04-01,"No"
"bempedoic acid;ezetimibe",2020-03-27,"No"
"benralizumab",2018-01-08,"No"
"beremagene geperpavec",2025-04-23,"Yes"
"berotralstat",2021-04-30,"No"
"besilesomab",2010-01-11,"No"
"betaine anhydrous",2007-02-14,"No"
"bevacizumab",2005-01-12,"No"
"bexarotene",2001-03-29,"No"
"bezlotoxumab",2017-01-18,"No"
"bictegravir;emtricitabine;tenofovir alafenamide",2018-06-21,"No"
"bimatoprost",2002-03-08,"No"
"bimatoprost;timolol",2006-05-19,"No"
"bimekizumab",2021-08-20,"No"
"binimetinib",2018-09-20,"No"
"birch bark extract",2022-06-21,"Yes"
"blinatumomab",2015-11-23,"Yes"
"bortezomib",2004-04-26,"No"
"bosentan",2002-05-14,"No"
"bosentan monohydrate",2013-06-24,"No"
"bosutinib",2013-03-27,"No"
"botulinum toxin type a",2019-09-27,"No"
"brensocatib",2025-11-18,"No"
"brentuximab vedotin",2012-10-25,"No"
"brexpiprazole",2018-07-26,"No"
"brexucabtagene autoleucel",2020-12-14,"Yes"
"brigatinib",2018-11-22,"No"
"brimonidine",2014-02-20,"No"
"brinzolamide",2000-03-09,"No"
"brinzolamide;brimonidine tartrate",2014-07-18,"No"
"brinzolamide;timolol",2008-11-25,"No"
"brivaracetam",2016-01-13,"No"
